predictor,beta,se_cluster,ratio,conventional_ci_low,conventional_ci_high,cluster_ci_low,cluster_ci_high,cluster_t_ci_low,cluster_t_ci_high,p_t,bootstrap_ci_low,bootstrap_ci_high,or_conventional_ci_low,or_conventional_ci_high,or_cluster_ci_low,or_cluster_ci_high,or_cluster_t_ci_low,or_cluster_t_ci_high,or_bootstrap_ci_low,or_bootstrap_ci_high,original_unit_scale,whole_category_ratio
const,-1.3141973347541838,0.15414457256275604,0.268689904756216,-1.3912296708903125,-1.237164998618055,-1.6163206969771857,-1.0120739725311818,-1.6310460414639514,-0.9973486280444162,5.253926426539832e-09,-1.8124880351679398,-0.9698773550796695,0.24876921221510406,0.2902057866207334,0.19862816951382378,0.3634643821901605,0.19572473082433067,0.3688561206028743,0.16324746567078444,0.3791295335635634,,
GDP_PER_CAP,0.9645658246308059,0.3093669030887535,2.623648285686034,0.8496660354573337,1.0794656138042782,0.35820669457684906,1.5709249546847626,0.3286530479900962,1.6004786012715155,0.00441260738761682,0.5521835407428531,1.6815102565289908,2.338865623293679,2.943106375341743,1.4307613205247653,4.811096182316816,1.3890958223837266,4.955403519370563,1.737041781404001,5.373665459221308,37996.67636054379,
POP_2024,0.5161787586608821,0.15207947545273517,1.6756124808706079,0.32644138197553374,0.7059161353462305,0.2181029867735212,0.8142545305482431,0.20357491985441872,0.8287825974673455,0.002217317439478859,0.2738243401560617,0.864353946758616,1.386027001217049,2.025701651976459,1.2437151472338888,2.25749215348372,1.2257769892347425,2.2905285469604033,1.3149837921020142,2.373472201135948,217214.9535475631,
POP_DENSITY,-0.05226212952418245,0.032065908916508346,0.9490800523309709,-0.12910971696678414,0.02458545791841922,-0.11511131100053881,0.01058705195217391,-0.11817454927890636,0.013650290230541456,0.11519363308209835,-0.18982625438650752,0.07478898319830055,0.8788775324784698,1.0248901723456272,0.891266930571377,1.0106432930874034,0.8885409448968306,1.0137438808035413,0.8271028269480757,1.077656723214883,595.2352323825324,
FIBER_PER_100,0.22921350632820006,0.07131671716725413,1.2576105181518578,0.1526102476119599,0.3058167650444402,0.08943274068038198,0.36899427197601814,0.08261989472354161,0.3758071179328585,0.003479597589217372,0.07368151197653543,0.34325152210710047,1.1648708792483207,1.3577334995160701,1.0935537791556256,1.4462793193283876,1.0861288867555638,1.4561662383279597,1.076463910032032,1.4095232436008307,69.02453055013613,
LTE_ACCESS_PER_100,0.37261593490256556,0.1045072408986048,1.4515267520011808,0.2551290106701609,0.4901028591349702,0.16778174274130014,0.577450127063831,0.15779822468414087,0.5874336451209903,0.0014358298660265012,0.18308719380121444,0.590050732123133,1.2906281149309398,1.6324841272250117,1.1826784543192261,1.7814900610393625,1.1709299061182128,1.7993646765414404,1.2009191162185084,1.8040799378818226,35.672794338856065,
REGION_North,-0.17248087004410917,0.06445206289267487,0.8415743879387051,-0.2656970177174796,-0.07926472237073873,-0.2988069133137519,-0.04615482677446642,-0.30496398270126435,-0.03999775738695402,0.012719725997401631,-0.38575342933576806,-0.07700064347965278,0.7666713801597259,0.9237953427801778,0.7417026085085068,0.9548941075704509,0.7371499240625291,0.96079159383367,0.6799381578160976,0.9258892578154055,0.2720928650074767,0.5305163926781585
REGION_Northeast,-0.5484186872243721,0.13653003156674812,0.5778628702128636,-0.6792875099149767,-0.4175498645337677,-0.8160175490951984,-0.2808198253535458,-0.8290601863686637,-0.2677771880800806,0.0004474188967341875,-0.8932147240619448,-0.32063432970271866,0.5069780805701619,0.6586586473227932,0.4421891491923327,0.7551643846995579,0.43645928401528816,0.7650782306625244,0.40933772750162906,0.725688565231798,0.4672013340622099,0.3091780308502088
REGION_South,-0.40521213110400933,0.20143059704942212,0.6668353393370239,-0.5109930760437638,-0.2994311861642549,-0.8000161013208766,-0.01040816088714197,-0.8192586531825068,0.008834390974488182,0.05472590686034964,-0.9376338576355082,0.06899381765271566,0.5998995370449463,0.741239728203704,0.4493217293856357,0.9896458165883205,0.44075828817084484,1.0088735293761806,0.39155321078177246,1.0714295851780842,0.41016490507020714,0.37234854286358293
REGION_Southeast,0.026613037297049887,0.17106101881850216,1.0269703266507835,-0.082904924379326,0.1361309989734258,-0.30866655958721434,0.3618926341813141,-0.3250079226886239,0.37823399728272367,0.8775686056085048,-0.7189211263669383,0.3399361103813728,0.9204386543365155,1.1458319865775939,0.734425616383847,1.4360447515626897,0.7225216293055031,1.4597044697955643,0.4872776835187647,1.4048578318651965,0.4581633820092959,1.0598065031190758
